WIND,SOLAR,HYDRO
0.432,0,0.432
0.344125,0,0.344125
0.298,0,0.298
0.267875,0,0.267875
0.228625,0,0.228625
0.2,0,0.2
0.209625,0,0.209625
0.268375,0,0.268375
0.26575,0.016909091,0.26575
0.206125,0.193727273,0.206125
0.134375,0.336454545,0.134375
0.126375,0.435636364,0.126375
0.162375,0.508909091,0.162375
0.225,0.505,0.225
0.269375,0.481636364,0.269375
0.31675,0.421818182,0.31675
0.388875,0.273272727,0.388875
0.516125,0.080090909,0.516125
0.614625,0.001363636,0.614625
0.646125,0,0.646125
0.645875,0,0.645875
0.6615,0,0.6615
0.6625,0,0.6625
0.65325,0,0.65325
0.6355,0,0.6355
0.622,0,0.622
0.60425,0,0.60425
0.607625,0,0.607625
0.58375,0,0.58375
0.527125,0,0.527125
0.490375,0,0.490375
0.441875,0,0.441875
0.383625,0.009545455,0.383625
0.268375,0.164818182,0.268375
0.149375,0.338727273,0.149375
0.09875,0.468818182,0.09875
0.089875,0.538545455,0.089875
0.118875,0.515181818,0.118875
0.11975,0.471181818,0.11975
0.12175,0.403272727,0.12175
0.188,0.268090909,0.188
0.415125,0.084818182,0.415125
0.578,0.001363636,0.578
0.60825,0,0.60825
0.63325,0,0.63325
0.653625,0,0.653625
0.6665,0,0.6665
0.667,0,0.667
0.671875,0,0.671875
0.681375,0,0.681375
0.67675,0,0.67675
0.679125,0,0.679125
0.6585,0,0.6585
0.652875,0,0.652875
0.64825,0,0.64825
0.611,0,0.611
0.57675,0.011272727,0.57675
0.49125,0.157090909,0.49125
0.446,0.304909091,0.446
0.47525,0.435727273,0.47525
0.545375,0.508090909,0.545375
0.601125,0.487727273,0.601125
0.62625,0.464272727,0.62625
0.633375,0.399636364,0.633375
0.629125,0.262454545,0.629125
0.591875,0.085272727,0.591875
0.54,0.001363636,0.54
0.494625,0,0.494625
0.4705,0,0.4705
0.495,0,0.495
0.507125,0,0.507125
0.451375,0,0.451375
0.37125,0,0.37125
0.327,0,0.327
0.300375,0,0.300375
0.29675,0,0.29675
0.278625,0,0.278625
0.24075,0,0.24075
0.2665,0,0.2665
0.350125,0,0.350125
0.424625,0.026636364,0.424625
0.40575,0.231636364,0.40575
0.35125,0.366272727,0.35125
0.306,0.426818182,0.306
0.278,0.416727273,0.278
0.271,0.339909091,0.271
0.305375,0.32,0.305375
0.35325,0.240636364,0.35325
0.39225,0.132,0.39225
0.485125,0.042,0.485125
0.5975,0.001363636,0.5975
0.6085,0,0.6085
0.567,0,0.567
0.48375,0,0.48375
0.393125,0,0.393125
0.340125,0,0.340125
0.230625,0,0.230625
0.192625,0,0.192625
0.170125,0,0.170125
0.12975,0,0.12975
0.138375,0,0.138375
0.1425,0,0.1425
0.127125,0,0.127125
0.099625,0,0.099625
0.11875,0.008727273,0.11875
0.12375,0.120363636,0.12375
0.14,0.221454545,0.14
0.169625,0.282,0.169625
0.19775,0.309181818,0.19775
0.21275,0.276545455,0.21275
0.215625,0.237090909,0.215625
0.216875,0.217090909,0.216875
0.248875,0.149636364,0.248875
0.383125,0.047909091,0.383125
0.58225,0.001272727,0.58225
0.68975,0,0.68975
0.726375,0,0.726375
0.739125,0,0.739125
0.722875,0,0.722875
0.740875,0,0.740875
0.75025,0,0.75025
0.746125,0,0.746125
0.73275,0,0.73275
0.733,0,0.733
0.72525,0,0.72525
0.75075,0,0.75075
0.772,0,0.772
0.791875,0,0.791875
0.842875,0.006090909,0.842875
0.8565,0.102454545,0.8565
0.845375,0.204818182,0.845375
0.827875,0.276272727,0.827875
0.86925,0.346181818,0.86925
0.91725,0.415909091,0.91725
0.939875,0.427727273,0.939875
0.962875,0.386545455,0.962875
0.980375,0.262363636,0.980375
0.935375,0.088636364,0.935375
0.859875,0.001363636,0.859875
0.869375,0,0.869375
0.866625,0,0.866625
0.900625,0,0.900625
0.910125,0,0.910125
0.9205,0,0.9205
0.930875,0,0.930875
0.8925,0,0.8925
0.85925,0,0.85925
0.86175,0,0.86175
0.861625,0,0.861625
0.879375,0,0.879375
0.889875,0,0.889875
0.925625,0,0.925625
0.965375,0.028636364,0.965375
0.98225,0.216181818,0.98225
0.956,0.359454545,0.956
0.9345,0.467454545,0.9345
0.90725,0.517454545,0.90725
0.884,0.513727273,0.884
0.857875,0.495363636,0.857875
0.833625,0.441636364,0.833625
0.81975,0.302363636,0.81975
0.8045,0.103,0.8045
0.76025,0.001454545,0.76025
0.75775,0,0.75775
0.72375,0,0.72375
0.7255,0,0.7255
0.701875,0,0.701875
0.6495,0,0.6495
0.586875,0,0.586875
0.528125,0,0.528125
0.455625,0,0.455625
0.421,0,0.421
0.38975,0,0.38975
0.348375,0,0.348375
0.33675,0,0.33675
0.316625,0,0.316625
0.304125,0.042818182,0.304125
0.315875,0.242909091,0.315875
0.262375,0.383272727,0.262375
0.22975,0.459727273,0.22975
0.239875,0.493909091,0.239875
0.280375,0.461181818,0.280375
0.311625,0.399090909,0.311625
0.296625,0.340454545,0.296625
0.25875,0.232909091,0.25875
0.186375,0.081090909,0.186375
0.14025,0.001363636,0.14025
0.130125,0,0.130125
0.117625,0,0.117625
0.1185,0,0.1185
0.105375,0,0.105375
0.08225,0,0.08225
0.076625,0,0.076625
0.075625,0,0.075625
0.071625,0,0.071625
0.075,0,0.075
0.086375,0,0.086375
0.096125,0,0.096125
0.11375,0,0.11375
0.14825,0,0.14825
0.216875,0.009818182,0.216875
0.26525,0.113818182,0.26525
0.253625,0.2,0.253625
0.25025,0.277727273,0.25025
0.2455,0.355090909,0.2455
0.251125,0.362818182,0.251125
0.270875,0.349636364,0.270875
0.298875,0.324,0.298875
0.32875,0.232,0.32875
0.317375,0.084727273,0.317375
0.34225,0.001545455,0.34225
0.403375,0,0.403375
0.422,0,0.422
0.43775,0,0.43775
0.458875,0,0.458875
0.503125,0,0.503125
0.504875,0,0.504875
0.484125,0,0.484125
0.47825,0,0.47825
0.54375,0,0.54375
0.57575,0,0.57575
0.626625,0,0.626625
0.70275,0,0.70275
0.730875,0,0.730875
0.759,0.005272727,0.759
0.7325,0.074272727,0.7325
0.703,0.128363636,0.703
0.78975,0.147545455,0.78975
0.84775,0.139,0.84775
0.873875,0.121,0.873875
0.914375,0.144909091,0.914375
0.9345,0.160545455,0.9345
0.95775,0.125,0.95775
0.976,0.042363636,0.976
0.981875,0.001363636,0.981875
0.985,0,0.985
0.980375,0,0.980375
0.96475,0,0.96475
0.8975,0,0.8975
0.8305,0,0.8305
0.765375,0,0.765375
0.7235,0,0.7235
0.68825,0,0.68825
0.662875,0,0.662875
0.699875,0,0.699875
0.744,0,0.744
0.769125,0,0.769125
0.8225,0,0.8225
